,FEATTYPE,SCALE,elevation,aspect,slope,Years_befo,NDVI,distance,total_curv,plan_curv,prof_curv,Main_Rock__Granitic Rocks,Main_Rock__Granodiorite,"Main_Rock__Graphitic siltstone, sandstone and marble","Main_Rock__Quartz sandstone, siltstone with conglomerate",Main_Rock__Red conglomerate and coarse sandstone with siltstone,"Main_Rock__Sandstone, siltstone and mudstone","Main_Rock__Superficial Deposits (Silt, sand and gravel)",Main_Rock__Tuff and Lava,Period_Carboniferous,Period_Cretaceous,Period_Devonian,Period_Jurassic,Period_Quaternary,landuse_Agriculture,landuse_Grassland,landuse_Shrubland,landuse_Wetland,landuse_forest,landuse_urban,landuse_water,FACAFF_0,FACAFF_1,FACAFF_2,FACAFF_3,FACAFF_4,Year
108,0,2.0,455,247.38,15.6997,145-199,0.247697,993.7695645,0.40544,0.190963,-0.214477,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0
109,1,1.5,270,294.163,15.3234,145-199,0.237058,1880.118821,0.0737164,0.12912,0.0554032,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0
110,1,2.5,234,323.854,21.0515,145-199,0.1328,388.1898846,0.196577,0.15078,-0.0457973,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,145.0
111,1,0.001,48,120.735,6.63606,145-199,0.275829,368.8561879,0.147433,0.131011,-0.016422,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,145.0
112,0,3.0,21,133.493,8.26688,145-199,0.258758,258.8538591,-0.0491442,0.00322123,0.0523655,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,145.0
113,1,1.5,38,350.463,9.71965,145-199,0.158101,257.3910278,-0.184291,-0.0830307,0.10126,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,145.0
114,0,9.8,204,103.782,12.4748,145-199,0.305868,169.6327851,0.380868,0.162033,-0.218835,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,145.0
115,1,5.0,64,3.63819,13.1841,145-199,0.252091,166.0031664,0.442298,0.285873,-0.156426,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,145.0
116,1,3.7,80,187.284,10.2701,145-199,0.265788,270.0825841,-0.159719,0.020585,0.180304,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,145.0
117,1,1.5,299,258.486,8.47154,145-199,0.329801,12.6350958,-0.196577,-0.0444999,0.152077,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,145.0
