ID,SLIDE_TYPE,history,predict
1149,R,59,2
1150,R,59,1
1151,R,59,2
1152,R,59,1
1153,R,59,2
1154,R,59,1
1155,R,59,2
1156,R,59,2
1157,R,59,2
1158,R,59,2
1159,R,59,2
1160,R,59,1
1161,R,59,2
1162,R,59,2
1163,R,59,2
1164,R,59,1
1165,R,59,2
1166,R,59,1
1167,R,59,2
1168,R,59,2
1169,R,59,2
1170,R,59,2
1171,R,59,2
1172,R,59,2
1173,R,59,2
1174,R,59,1
1175,R,59,1
1176,R,59,1
1177,R,59,2
1178,R,59,2
1179,R,59,1
1180,R,59,1
1181,R,59,2
1182,R,59,1
1183,C,60,2
1184,C,60,1
1185,O,59,2
1186,O,59,1
1187,O,59,2
1188,O,49,1
1189,O,40,2
1190,O,40,2
1191,C,30,2
1192,C,30,2
1193,C,30,2
1194,O,30,2
1195,O,30,1
1196,C,30,1
1197,C,30,2
1198,C,30,2
1199,C,30,2
1200,C,30,1
1201,C,30,1
1202,C,30,2
1203,O,29,1
1204,C,29,1
1205,C,29,2
1206,C,29,2
1207,C,29,1
1208,C,29,2
1209,C,29,2
1210,C,29,2
1211,C,29,2
1212,O,29,1
1213,O,28,2
1214,O,27,2
1215,,,1
1216,O,23,2
1217,O,20,2
1218,,,1
1219,C,14,2
1220,O,14,2
1221,O,14,2
1222,C,14,2
1223,O,14,2
1224,C,14,2
1225,C,14,2
1226,C,14,2
1227,C,14,1
1228,C,14,2
1229,C,14,1
1230,O,14,2
1231,O,14,2
1232,O,14,2
1233,,,2
1234,,,2
1235,O,14,2
1236,C,14,2
1237,C,14,1
1238,C,14,1
1239,O,14,1
1240,C,14,2
1241,C,14,1
1242,C,14,1
1243,O,14,1
1244,O,14,2
1245,C,14,2
1246,O,14,2
1247,O,14,2
1248,O,14,2
1249,O,14,2
1250,C,14,2
1251,C,14,2
1252,C,14,2
1253,C,14,2
1254,O,14,2
1255,O,12,2
1256,R,59,2
1257,R,59,1
1258,R,59,2
1259,R,59,2
1260,R,59,2
1261,R,59,2
1262,R,59,1
1263,R,59,1
1264,R,59,2
1265,R,59,2
1266,R,59,2
1267,R,59,2
1268,R,59,1
1269,R,59,1
1270,R,59,1
1271,R,59,2
1272,R,59,1
1273,R,59,2
1274,R,59,2
1275,R,59,1
1276,R,59,2
1277,R,59,1
1278,R,59,2
1279,R,59,2
1280,R,59,2
1281,R,59,2
1282,R,59,2
1283,R,59,1
1284,R,59,2
1285,R,59,2
1286,R,59,2
1287,R,59,2
1288,R,59,2
1289,R,59,1
1290,R,59,1
1291,R,59,2
1292,R,59,1
1293,R,59,2
1294,R,59,1
1295,R,59,2
1296,R,59,1
1297,R,59,1
1298,R,59,2
1299,R,59,2
1300,R,59,1
1301,R,59,2
1302,R,59,1
1303,R,59,2
1304,R,59,2
1305,R,59,2
1306,R,59,1
1307,R,59,1
1308,R,59,1
1309,R,59,1
1310,R,59,2
1311,R,59,2
1312,R,59,2
1313,R,59,2
1314,R,59,2
1315,R,59,1
1316,R,59,2
1317,R,59,1
1318,R,59,2
1319,R,59,2
1320,,,2
1321,,,2
1322,,,1
1323,,,1
1324,,,1
1325,,,1
1326,,,1
1327,,,2
1328,,,1
1329,,,2
1330,R,59,1
1331,R,59,2
1332,R,59,2
1333,R,59,1
1334,R,59,2
1335,R,59,2
1336,R,59,2
1337,R,59,1
1338,R,59,2
1339,R,59,2
1340,R,59,1
1341,R,59,1
1342,R,59,2
1343,R,59,2
1344,R,59,2
1345,R,59,2
1346,R,59,2
1347,R,59,1
1348,R,59,2
1349,R,59,1
1350,R,59,2
1351,R,59,2
1352,R,59,2
1353,R,59,2
1354,R,59,2
1355,R,59,1
1356,R,59,1
1357,R,59,1
1358,R,59,2
1359,R,59,1
1360,R,59,1
1361,R,59,2
1362,R,59,1
1363,R,59,1
1364,R,59,2
1365,R,59,2
1366,R,59,2
1367,R,59,2
1368,R,59,2
1369,R,59,2
1370,R,59,2
1371,R,59,2
1372,R,59,2
1373,R,59,2
1374,R,59,2
1375,R,59,2
1376,R,59,2
1377,R,59,1
1378,R,59,2
1379,R,59,2
1380,R,59,2
1381,R,59,2
1382,R,59,1
1383,R,59,1
1384,R,59,2
1385,R,59,2
1386,R,59,2
